video_file,verse_ref,speaker,sanskrit_shloka,padavibhaga_text,explanation_start,explanation_end,explanation_summary_en,short_summary,section_type
gita-4th_video,BG 2.10,Sanjaya,"ತಮುವಾಚ ಹೃಷಿಕೇಶಃ ಪ್ರಹಸನ್ನಿವ ಭಾರತ ಸೇನಯೋರುಭಯೋರ್ಮಧ್ಯೆ ವಿಷೀದಂತಮಿದಂ ವಚಃ","ತಂ ಉವಾಚ ಹೃಷಿಕೇಶಃ ಪ್ರಹಸನ್ ಇವ ಭಾರತ ಸೇನಯೋಹು ಉಭಯೋಹು ಮಧ್ಯೆ. ವಿಷೀದಂತಂ ಇದಂ ವಚಃ",,,"Krishna (Hrishikesha) smiles and speaks to Arjuna who is filled with sorrow in the middle of the two armies. His smile (prahasa) reveals Arjuna's real weakness and exposes that his arguments about dharma were only excuses. Arjuna's true reason for refusing to fight is his attachment to his relatives and emotional weakness. Krishna brings out this truth and begins his teaching of the Bhagavad Gita. Even in the tense battlefield between two armies, Krishna guides Arjuna and prepares him to perform his duty.","Krishna smiles and speaks to Arjuna, who is filled with sorrow in the middle of the two armies. Through this, Krishna reveals Arjuna's real weakness and begins the teaching of the Bhagavad Gita to guide him toward his duty.",shloka_explanation
gita-4th_video,BG 2.11,Krishna,"ಅಶೋಚ್ಯಾನನ್ವಶೋಚಸ್ತ್ವಂ ಪ್ರಜ್ಞಾವಾದಾಂಶ್ಚ ಭಾಷಸಿ ಗತಾಸು ನಗತಾಸುಂಶ್ಚ ನಾನು ಶೋಚಂತಿ ಪಂಡಿತಾಹ","ಅಶೋಚ್ಯಾನ್ ಅನ್ವಶೋಚಃ ತ್ವಂ ಪ್ರಜ್ಞಾವಾದಾನ್ ಚ ಭಾಷಸೆ ಗತಾಸೂನ್ ಅಗತಾಸೂನ್ ಚ ನ ಅನುಶೋಚಂತಿ ಪಂಡಿತಾಹ",,,"Krishna tells Arjuna that he is grieving for people who are not worthy of sorrow and speaking words that only appear wise. Arjuna's arguments about dharma are actually due to attachment to his relatives and not true understanding. As a Kshatriya, it is his duty to punish wrongdoing, even if the wrongdoers are his elders or relatives. Krishna explains that wise people do not grieve for the living or those who are near death. Therefore, Arjuna's sorrow and reasoning are both incorrect.","Krishna tells Arjuna that he is grieving for people who are not worthy of sorrow and speaking words that only seem wise. He explains that a true wise person does not grieve for the living or those who are near death, and Arjuna must perform his duty as a Kshatriya.",shloka_explanation
gita-4th_video,-,Narrator,-,-,,,,"This marks the end of the first verse of Krishna's teaching in the Bhagavad Gita. Discourse sponsored by Sri Maravekere Muralidhara.",closing
gita-5th_video,-,Narrator,-,-,,,,"Up to verse 11 of Chapter 2, Krishna begins responding to Arjuna's grief by questioning whether Arjuna truly understands who his relatives are — the body or the eternal soul within.",Introduction
gita-5th_video,BG 2.12,Krishna,"ನತ್ವೇವಾಹಂ ಜಾತುನಾಸಂ ನತ್ವಂ ನೇಮೇ ಜನಾಧಿಪಾಹ ನಚೈವ ನ ಭವಿಷ್ಯಾಮಃ ಸರ್ವೇ ವಯಮತಃ ಪರಂ","ನ ತು ಏವ ಅಹಂ ಜಾತು ನ ಆಸಂ ನ ತ್ವಂ ನ ಇಮೆ ಜನಾಧಿಪಾಹ ನ ಚ ಏವ ನ ಭವಿಷ್ಯಾಮಃ ಸರ್ವೇ ವಯಂ ಅತಃ ಪರಂ",,,"Krishna declares that neither He, Arjuna, nor any of the assembled kings has ever not existed — all souls are beginningless and eternal. Using all three grammatical persons (I / you / they), He establishes that the soul (atma) is unborn and therefore undying. Since it was never born, it cannot be killed, and grief over its destruction is unwarranted.","Krishna tells Arjuna that the soul — in himself, in Arjuna, and in all kings present — has always existed and always will. The soul was never born and can never die, so there is no need to grieve.",shloka_explanation
gita-5th_video,BG 2.13,Krishna,"ದೇಹಿನೋಸ್ಮಿನ್ ಯಥಾ ದೇಹೆ ಕೌಮಾರಂ ಯವ್ವನಂ ಜರಾ ತಥಾ ದೇಹಾಂತರ ಪ್ರಾಪ್ತಿಹಿ ಧೀರಸ್ತತ್ರ ನಮುಹ್ಯತಿ","ದೇಹಿನಃ ಅಸ್ಮಿನ್ ಯಥಾ ದೇಹೆ ಕೌಮಾರಂ ಯವ್ವನಂ ಜರ ತಥಾ ದೇಹಾಂತರ ಪ್ರಾಪ್ತಿಹಿ ಧೀರಹ ತತ್ರ ನ ಮುಹ್ಯತಿ",,,"Just as the soul within one body passes through childhood, youth, and old age without grief — because we accept each stage as natural — so too does it pass into a new body at death (dehaantara praapti). Krishna asks: you do not weep when your child-body becomes a youth-body; why then weep when the old body gives way to a new one? A wise person (dhira — one established in viveka/discernment) does not grieve over this natural transition.","Krishna uses the analogy of the body passing through childhood, youth, and old age to explain that death is simply the soul receiving a new body. A wise, discerning person does not grieve over this natural transition.",shloka_explanation
gita-5th_video,-,Narrator,-,-,,,,"The narrator closes by noting that Arjuna's real grief is the loss of personal bond, not philosophical fear of death. The next verse will address this. Discourse sponsored by Sri Maravekere Muralidhara Rao.",closing
gita-6th_video,-,Narrator,-,-,,,,"Krishna now addresses Arjuna's real grief — not fear of death, but the sorrow of losing the physical bond with beloved elders and the pain of witnessing their suffering.",introduction
gita-6th_video,BG 2.14,Krishna,"ಮಾತ್ರಾಸ್ಪರ್ಶಾಸ್ತು ಕೌಂತೇಯ ಶೀತೋಷ್ಣ ಸುಖ ದುಃಖದಾಹ ಆಗಮಾಪಾಯಿನೋ ನಿತ್ಯಾಹ ತಾಂತಿತಿಕ್ಷಸ್ವ ಭಾರತ","ಮಾತ್ರಾಸ್ಪರ್ಶಾಹ ತು ಕೌಂತೇಯ ಶೀತೋಷ್ಣ ಸುಖ ದುಃಖದಾಹ ಆಗಮಾಪಾಯಿನಹ ಅನಿತ್ಯಾಹ ತಾನ್ ತಿತಿಕ್ಷಸ್ವ ಭಾರತ",,,"Krishna introduces the technical term 'maatra' (the objects perceived by the five senses) and 'sparsha' (the contact between the senses and their objects). Using the skin's experience of hot and cold as an example, He explains that sensory contact with objects produces pleasure or pain depending on the season — the same cold object gives joy in summer and misery in winter. However, Madhvacharya's commentary reveals a deeper layer: sensory contact alone is NOT the cause of pleasure and pain. What truly causes them is 'abhimana' — the sense of 'mine-ness' or personal ownership attached to a person or object. The same wound on a stranger's body leaves Arjuna unmoved; the same wound on his teacher causes him to weep — because one has abhimana and the other does not. Using vivid examples, Krishna shows that renouncing 'mine-ness' renders sensory contact incapable of causing pain. Therefore, 'titiksha' here means not merely 'endure' but 'make them ineffective' (viphaleeKuru) — by dropping the abhimana of 'my guru, my grandfather.' The term 'agamaapaayi' (coming and going) and 'anitya' (impermanent) further show that pleasures and pains from sensory contact are temporary, so clinging to them is irrational.","Krishna explains that sensory contact (maatra-sparsha) is not the sole cause of pleasure and pain — the real cause is 'abhimana' (mine-ness). By dropping the sense of 'my guru, my grandfather,' Arjuna can act in battle without grief.",shloka_explanation
gita-6th_video,-,Narrator,-,-,,,,"Performing duty free of abhimana brings not only freedom from grief but also infinite fruits — to be explained next. Discourse sponsored by Sri Maravekere Muralidhara Rao.",closing
kannada_07,BG 2.15,-,-,-,-,-,-,-,-
kannada_07,BG 2.16,-,-,-,-,-,-,-,-
kannada_08,BG 2.17,-,-,-,-,-,-,-,-
kannada_08,BG 2.18,-,-,-,-,-,-,-,-
kannada_09,BG 2.19,-,-,-,-,-,-,-,-
kannada_09,BG 2.20,-,-,-,-,-,-,-,-
kannada_09,BG 2.21,-,-,-,-,-,-,-,-
kannada_09,BG 2.22,-,-,-,-,-,-,-,-
kannada_10,BG 2.23,-,-,-,-,-,-,-,-
kannada_10,BG 2.24,-,-,-,-,-,-,-,-
kannada_10,BG 2.25,-,-,-,-,-,-,-,-
kannada_11,BG 2.26,-,-,-,-,-,-,-,-
kannada_11,BG 2.27,-,-,-,-,-,-,-,-
kannada_11,BG 2.28,-,-,-,-,-,-,-,-
kannada_12,BG 2.29,-,-,-,-,-,-,-,-
kannada_12,BG 2.30,-,-,-,-,-,-,-,-
kannada_12,BG 2.31,-,-,-,-,-,-,-,-
kannada_13,BG 2.32,-,-,-,-,-,-,-,-
kannada_13,BG 2.33,-,-,-,-,-,-,-,-
kannada_13,BG 2.34,-,-,-,-,-,-,-,-
kannada_14,BG 2.35,-,-,-,-,-,-,-,-
kannada_14,BG 2.36,-,-,-,-,-,-,-,-
kannada_14,BG 2.37,-,-,-,-,-,-,-,-
kannada_15,BG 2.38,-,-,-,-,-,-,-,-
kannada_15,BG 2.39,-,-,-,-,-,-,-,-
kannada_16,BG 2.40,-,-,-,-,-,-,-,-
kannada_16,BG 2.41,-,-,-,-,-,-,-,-
kannada_17,BG 2.42,-,-,-,-,-,-,-,-
kannada_17,BG 2.43,-,-,-,-,-,-,-,-
kannada_17,BG 2.44,-,-,-,-,-,-,-,-
kannada_17,BG 2.45,-,-,-,-,-,-,-,-
kannada_18,BG 2.46,-,-,-,-,-,-,-,-
kannada_19,BG 2.47,-,-,-,-,-,-,-,-
kannada_20,BG 2.48,-,-,-,-,-,-,-,-
kannada_20,BG 2.49,-,-,-,-,-,-,-,-
