unit_id,video_file,detected_verses
kn_gita-2nd_video_0009,gita-2nd_video,BG 2.37;BG 2.5;BG 2.6
kn_gita-2nd_video_0010,gita-2nd_video,BG 2.37;BG 2.5;BG 2.6
kn_gita-2nd_video_0011,gita-2nd_video,BG 2.4;BG 2.5;BG 2.6
kn_gita-2nd_video_0012,gita-2nd_video,BG 2.1;BG 2.41;BG 2.49
kn_gita-3rd_video_0000,gita-3rd_video,BG 2.2;BG 2.3;BG 2.49
kn_gita-3rd_video_0001,gita-3rd_video,BG 2.2;BG 2.49;BG 2.54
kn_gita-3rd_video_0002,gita-3rd_video,BG 2.3;BG 2.31;BG 2.7
kn_gita-3rd_video_0003,gita-3rd_video,BG 2.39;BG 2.5;BG 2.7
kn_gita-3rd_video_0004,gita-3rd_video,BG 2.48;BG 2.6;BG 2.7
kn_gita-3rd_video_0005,gita-3rd_video,BG 2.5;BG 2.6;BG 2.7
kn_gita-3rd_video_0006,gita-3rd_video,BG 2.3;BG 2.39;BG 2.49
kn_gita-3rd_video_0007,gita-3rd_video,BG 2.17;BG 2.6;BG 2.8
kn_gita-3rd_video_0008,gita-3rd_video,BG 2.6;BG 2.7;BG 2.8
kn_gita-3rd_video_0009,gita-3rd_video,BG 2.10;BG 2.7;BG 2.9
kn_gita-3rd_video_0010,gita-3rd_video,BG 2.10;BG 2.7;BG 2.9
kn_gita-3rd_video_0011,gita-3rd_video,BG 2.61;BG 2.68;BG 2.9
kn_gita-3rd_video_0012,gita-3rd_video,BG 2.2;BG 2.49;BG 2.9
kn_gita-3rd_video_0013,gita-3rd_video,BG 2.41;BG 2.49;BG 2.61
kn_gita-4th_video_0000,gita-4th_video,BG 2.10;BG 2.2;BG 2.7
kn_gita-4th_video_0001,gita-4th_video,BG 2.2;BG 2.49;BG 2.54
kn_gita-4th_video_0002,gita-4th_video,BG 2.2;BG 2.38;BG 2.4
kn_gita-4th_video_0003,gita-4th_video,BG 2.10;BG 2.2;BG 2.3
kn_gita-4th_video_0004,gita-4th_video,BG 2.10;BG 2.6;BG 2.7
kn_gita-4th_video_0005,gita-4th_video,BG 2.11;BG 2.39;BG 2.49
kn_gita-4th_video_0006,gita-4th_video,BG 2.11;BG 2.39;BG 2.49
kn_gita-4th_video_0007,gita-4th_video,BG 2.11;BG 2.2;BG 2.49
kn_gita-4th_video_0008,gita-4th_video,BG 2.11;BG 2.2;BG 2.5
kn_gita-4th_video_0009,gita-4th_video,BG 2.27;BG 2.38;BG 2.47
kn_gita-4th_video_0010,gita-4th_video,BG 2.11;BG 2.2;BG 2.49
kn_gita-4th_video_0011,gita-4th_video,BG 2.11;BG 2.39;BG 2.49
kn_gita-4th_video_0012,gita-4th_video,BG 2.11;BG 2.25;BG 2.27
kn_gita-4th_video_0013,gita-4th_video,BG 2.11;BG 2.51;BG 2.56
kn_gita-4th_video_0014,gita-4th_video,BG 2.39;BG 2.41;BG 2.7
kn_gita-5th_video_0000,gita-5th_video,BG 2.11;BG 2.2;BG 2.4
kn_gita-5th_video_0001,gita-5th_video,BG 2.17;BG 2.25;BG 2.30
kn_gita-5th_video_0002,gita-5th_video,BG 2.20;BG 2.26;BG 2.30
kn_gita-5th_video_0003,gita-5th_video,BG 2.12;BG 2.20;BG 2.28
kn_gita-5th_video_0004,gita-5th_video,BG 2.20;BG 2.24;BG 2.27
kn_gita-5th_video_0005,gita-5th_video,BG 2.17;BG 2.20;BG 2.30
kn_gita-5th_video_0006,gita-5th_video,BG 2.13;BG 2.17;BG 2.20
kn_gita-5th_video_0007,gita-5th_video,BG 2.13;BG 2.18;BG 2.30
kn_gita-5th_video_0008,gita-5th_video,BG 2.13;BG 2.22;BG 2.27
kn_gita-5th_video_0009,gita-5th_video,BG 2.13;BG 2.17;BG 2.18
kn_gita-5th_video_0010,gita-5th_video,BG 2.17;BG 2.25;BG 2.30
kn_gita-5th_video_0011,gita-5th_video,BG 2.13;BG 2.17;BG 2.20
kn_gita-5th_video_0012,gita-5th_video,BG 2.17;BG 2.25;BG 2.30
kn_gita-5th_video_0013,gita-5th_video,BG 2.13;BG 2.22;BG 2.27
kn_gita-5th_video_0014,gita-5th_video,BG 2.13;BG 2.22;BG 2.27
kn_gita-5th_video_0015,gita-5th_video,BG 2.13;BG 2.20;BG 2.30
kn_gita-5th_video_0016,gita-5th_video,BG 2.13;BG 2.27;BG 2.5
kn_gita-5th_video_0017,gita-5th_video,BG 2.23;BG 2.5;BG 2.7
kn_gita-5th_video_0018,gita-5th_video,BG 2.3;BG 2.49;BG 2.65
kn_gita-6th_video_0000,gita-6th_video,BG 2.13;BG 2.14;BG 2.18
kn_gita-6th_video_0001,gita-6th_video,BG 2.29;BG 2.54;BG 2.62
kn_gita-6th_video_0002,gita-6th_video,BG 2.14;BG 2.59;BG 2.62
kn_gita-6th_video_0003,gita-6th_video,BG 2.14;BG 2.59;BG 2.62
kn_gita-6th_video_0004,gita-6th_video,BG 2.14;BG 2.62;BG 2.63
kn_gita-6th_video_0005,gita-6th_video,BG 2.14;BG 2.49;BG 2.62
kn_gita-6th_video_0006,gita-6th_video,BG 2.14;BG 2.49;BG 2.62
kn_gita-6th_video_0007,gita-6th_video,BG 2.49;BG 2.59;BG 2.62
kn_gita-6th_video_0008,gita-6th_video,BG 2.59;BG 2.62;BG 2.63
kn_gita-6th_video_0009,gita-6th_video,BG 2.14;BG 2.27;BG 2.7
kn_gita-6th_video_0010,gita-6th_video,BG 2.62;BG 2.63;BG 2.8
kn_gita-6th_video_0011,gita-6th_video,BG 2.26;BG 2.36;BG 2.4
kn_gita-6th_video_0012,gita-6th_video,BG 2.2;BG 2.45;BG 2.49
kn_gita-6th_video_0013,gita-6th_video,BG 2.14;BG 2.62;BG 2.63
kn_gita-6th_video_0014,gita-6th_video,BG 2.14;BG 2.26;BG 2.62
kn_gita-6th_video_0015,gita-6th_video,BG 2.14;BG 2.39;BG 2.62
kn_gita-6th_video_0016,gita-6th_video,BG 2.14;BG 2.49;BG 2.62
kn_gita-6th_video_0017,gita-6th_video,BG 2.11;BG 2.36;BG 2.5
kn_gita-6th_video_0018,gita-6th_video,BG 2.26;BG 2.48;BG 2.9
kn_gita-6th_video_0019,gita-6th_video,BG 2.14;BG 2.3;BG 2.36
kn_gita-6th_video_0020,gita-6th_video,BG 2.39;BG 2.41;BG 2.55
kn_kannada_07_0000,kannada_07,BG 2.2;BG 2.49;BG 2.5
kn_kannada_07_0001,kannada_07,BG 2.27;BG 2.38;BG 2.39
kn_kannada_07_0002,kannada_07,BG 2.14;BG 2.15;BG 2.39
kn_kannada_07_0003,kannada_07,BG 2.15;BG 2.57;BG 2.71
kn_kannada_07_0004,kannada_07,BG 2.15;BG 2.48;BG 2.49
kn_kannada_07_0005,kannada_07,BG 2.15;BG 2.49;BG 2.55
kn_kannada_07_0006,kannada_07,BG 2.13;BG 2.14;BG 2.55
kn_kannada_07_0007,kannada_07,BG 2.15;BG 2.49;BG 2.55
kn_kannada_07_0008,kannada_07,BG 2.13;BG 2.25;BG 2.55
kn_kannada_07_0009,kannada_07,BG 2.13;BG 2.39;BG 2.50
kn_kannada_07_0010,kannada_07,BG 2.39;BG 2.47;BG 2.50
kn_kannada_07_0011,kannada_07,BG 2.11;BG 2.27;BG 2.49
kn_kannada_07_0012,kannada_07,BG 2.27;BG 2.47;BG 2.49
kn_kannada_07_0013,kannada_07,BG 2.27;BG 2.49;BG 2.51
kn_kannada_07_0014,kannada_07,BG 2.20;BG 2.30;BG 2.72
kn_kannada_08_0000,kannada_08,BG 2.17;BG 2.18;BG 2.25
kn_kannada_08_0001,kannada_08,BG 2.27;BG 2.38;BG 2.49
kn_kannada_08_0002,kannada_08,BG 2.17;BG 2.23;BG 2.38
kn_kannada_08_0003,kannada_08,BG 2.17;BG 2.23;BG 2.24
kn_kannada_08_0004,kannada_08,BG 2.17;BG 2.23;BG 2.24
kn_kannada_08_0005,kannada_08,BG 2.17;BG 2.20;BG 2.24
kn_kannada_08_0006,kannada_08,BG 2.13;BG 2.25;BG 2.62
kn_kannada_08_0007,kannada_08,BG 2.17;BG 2.18;BG 2.25
kn_kannada_08_0008,kannada_08,BG 2.17;BG 2.20;BG 2.25
kn_kannada_08_0009,kannada_08,BG 2.17;BG 2.20;BG 2.24
kn_kannada_08_0010,kannada_08,BG 2.17;BG 2.18;BG 2.24
kn_kannada_08_0011,kannada_08,BG 2.17;BG 2.18;BG 2.24
kn_kannada_09_0000,kannada_09,BG 2.19;BG 2.21;BG 2.28
kn_kannada_09_0001,kannada_09,BG 2.19;BG 2.21;BG 2.29
kn_kannada_09_0002,kannada_09,BG 2.19;BG 2.21;BG 2.39
kn_kannada_09_0003,kannada_09,BG 2.19;BG 2.20;BG 2.28
kn_kannada_09_0004,kannada_09,BG 2.20;BG 2.27;BG 2.28
kn_kannada_09_0005,kannada_09,BG 2.13;BG 2.20;BG 2.27
kn_kannada_09_0006,kannada_09,BG 2.16;BG 2.20;BG 2.24
kn_kannada_09_0007,kannada_09,BG 2.13;BG 2.17;BG 2.20
kn_kannada_09_0008,kannada_09,BG 2.13;BG 2.17;BG 2.20
kn_kannada_09_0009,kannada_09,BG 2.19;BG 2.20;BG 2.21
kn_kannada_09_0010,kannada_09,BG 2.19;BG 2.21;BG 2.26
kn_kannada_09_0011,kannada_09,BG 2.13;BG 2.18;BG 2.22
kn_kannada_09_0012,kannada_09,BG 2.13;BG 2.22;BG 2.27
kn_kannada_09_0013,kannada_09,BG 2.13;BG 2.22;BG 2.27
kn_kannada_09_0014,kannada_09,BG 2.41;BG 2.49;BG 2.7
kn_kannada_10_0000,kannada_10,BG 2.22;BG 2.27;BG 2.30
kn_kannada_10_0001,kannada_10,BG 2.17;BG 2.19;BG 2.23
kn_kannada_10_0002,kannada_10,BG 2.19;BG 2.23;BG 2.24
kn_kannada_10_0003,kannada_10,BG 2.19;BG 2.23;BG 2.24
kn_kannada_10_0004,kannada_10,BG 2.17;BG 2.20;BG 2.24
kn_kannada_10_0005,kannada_10,BG 2.20;BG 2.24;BG 2.45
kn_kannada_10_0006,kannada_10,BG 2.23;BG 2.27;BG 2.66
kn_kannada_10_0007,kannada_10,BG 2.17;BG 2.24;BG 2.28
kn_kannada_10_0008,kannada_10,BG 2.17;BG 2.24;BG 2.25
kn_kannada_10_0009,kannada_10,BG 2.17;BG 2.19;BG 2.25
kn_kannada_10_0010,kannada_10,BG 2.25;BG 2.27;BG 2.30
kn_kannada_11_0000,kannada_11,BG 2.17;BG 2.19;BG 2.20
kn_kannada_11_0001,kannada_11,BG 2.17;BG 2.18;BG 2.38
kn_kannada_11_0002,kannada_11,BG 2.20;BG 2.26;BG 2.27
kn_kannada_11_0003,kannada_11,BG 2.20;BG 2.27;BG 2.38
kn_kannada_11_0004,kannada_11,BG 2.11;BG 2.26;BG 2.27
kn_kannada_11_0005,kannada_11,BG 2.13;BG 2.20;BG 2.27
kn_kannada_11_0006,kannada_11,BG 2.14;BG 2.20;BG 2.27
kn_kannada_11_0007,kannada_11,BG 2.13;BG 2.14;BG 2.27
kn_kannada_11_0008,kannada_11,BG 2.20;BG 2.27;BG 2.28
kn_kannada_11_0009,kannada_11,BG 2.13;BG 2.25;BG 2.29
kn_kannada_11_0010,kannada_11,BG 2.13;BG 2.14;BG 2.20
kn_kannada_11_0011,kannada_11,BG 2.13;BG 2.20;BG 2.25
kn_kannada_11_0012,kannada_11,BG 2.17;BG 2.20;BG 2.25
kn_kannada_11_0013,kannada_11,BG 2.20;BG 2.22;BG 2.45
kn_kannada_11_0014,kannada_11,BG 2.14;BG 2.28;BG 2.45
kn_kannada_11_0015,kannada_11,BG 2.1;BG 2.49;BG 2.7
kn_kannada_12_0000,kannada_12,BG 2.13;BG 2.14;BG 2.29
kn_kannada_12_0001,kannada_12,BG 2.13;BG 2.25;BG 2.29
kn_kannada_12_0002,kannada_12,BG 2.13;BG 2.17;BG 2.29
kn_kannada_12_0003,kannada_12,BG 2.13;BG 2.25;BG 2.29
kn_kannada_12_0004,kannada_12,BG 2.17;BG 2.18;BG 2.25
kn_kannada_12_0005,kannada_12,BG 2.13;BG 2.26;BG 2.30
kn_kannada_12_0006,kannada_12,BG 2.50;BG 2.66;BG 2.72
kn_kannada_12_0007,kannada_12,BG 2.13;BG 2.17;BG 2.55
kn_kannada_12_0008,kannada_12,BG 2.17;BG 2.18;BG 2.30
kn_kannada_12_0009,kannada_12,BG 2.17;BG 2.23;BG 2.30
kn_kannada_12_0010,kannada_12,BG 2.17;BG 2.24;BG 2.30
kn_kannada_12_0011,kannada_12,BG 2.18;BG 2.3;BG 2.31
kn_kannada_12_0012,kannada_12,BG 2.31;BG 2.38;BG 2.49
kn_kannada_12_0013,kannada_12,BG 2.31;BG 2.49;BG 2.6
kn_kannada_12_0014,kannada_12,BG 2.31;BG 2.38;BG 2.7
kn_kannada_12_0015,kannada_12,BG 2.48;BG 2.68;BG 2.7
kn_kannada_13_0000,kannada_13,BG 2.38;BG 2.48;BG 2.49
kn_kannada_13_0001,kannada_13,BG 2.27;BG 2.48;BG 2.49
kn_kannada_13_0002,kannada_13,BG 2.32;BG 2.48;BG 2.49
kn_kannada_13_0003,kannada_13,BG 2.32;BG 2.37;BG 2.38
kn_kannada_13_0004,kannada_13,BG 2.32;BG 2.37;BG 2.72
kn_kannada_13_0005,kannada_13,BG 2.3;BG 2.31;BG 2.49
kn_kannada_13_0006,kannada_13,BG 2.39;BG 2.49;BG 2.51
kn_kannada_13_0007,kannada_13,BG 2.3;BG 2.38;BG 2.6
kn_kannada_13_0008,kannada_13,BG 2.35;BG 2.48;BG 2.49
kn_kannada_13_0009,kannada_13,BG 2.5;BG 2.51;BG 2.72
kn_kannada_13_0010,kannada_13,BG 2.26;BG 2.3;BG 2.60
kn_kannada_14_0000,kannada_14,BG 2.26;BG 2.3;BG 2.37
kn_kannada_14_0001,kannada_14,BG 2.2;BG 2.3;BG 2.49
kn_kannada_14_0002,kannada_14,BG 2.3;BG 2.35;BG 2.6
kn_kannada_14_0003,kannada_14,BG 2.35;BG 2.36;BG 2.49
kn_kannada_14_0004,kannada_14,BG 2.26;BG 2.3;BG 2.36
kn_kannada_14_0005,kannada_14,BG 2.2;BG 2.3;BG 2.36
kn_kannada_14_0006,kannada_14,BG 2.2;BG 2.3;BG 2.4
kn_kannada_14_0007,kannada_14,BG 2.36;BG 2.37;BG 2.6
kn_kannada_14_0008,kannada_14,BG 2.31;BG 2.36;BG 2.38
kn_kannada_14_0009,kannada_14,BG 2.3;BG 2.38;BG 2.49
kn_kannada_14_0010,kannada_14,BG 2.38;BG 2.48;BG 2.49
kn_kannada_14_0011,kannada_14,BG 2.37;BG 2.38;BG 2.5
kn_kannada_14_0012,kannada_14,BG 2.27;BG 2.37;BG 2.38
kn_kannada_14_0013,kannada_14,BG 2.27;BG 2.37;BG 2.38
kn_kannada_15_0000,kannada_15,BG 2.38;BG 2.49;BG 2.5
kn_kannada_15_0001,kannada_15,BG 2.39;BG 2.47;BG 2.50
kn_kannada_15_0002,kannada_15,BG 2.49;BG 2.62;BG 2.8
kn_kannada_15_0003,kannada_15,BG 2.49;BG 2.59;BG 2.62
kn_kannada_15_0004,kannada_15,BG 2.38;BG 2.48;BG 2.49
kn_kannada_15_0005,kannada_15,BG 2.38;BG 2.39;BG 2.47
kn_kannada_15_0006,kannada_15,BG 2.38;BG 2.39;BG 2.49
kn_kannada_15_0007,kannada_15,BG 2.31;BG 2.38;BG 2.47
kn_kannada_15_0008,kannada_15,BG 2.31;BG 2.33;BG 2.38
kn_kannada_15_0009,kannada_15,BG 2.38;BG 2.39;BG 2.48
kn_kannada_15_0010,kannada_15,BG 2.39;BG 2.45;BG 2.50
kn_kannada_15_0011,kannada_15,BG 2.29;BG 2.39;BG 2.50
kn_kannada_15_0012,kannada_15,BG 2.29;BG 2.39;BG 2.66
kn_kannada_15_0013,kannada_15,BG 2.17;BG 2.39;BG 2.55
kn_kannada_15_0014,kannada_15,BG 2.39;BG 2.49;BG 2.55
kn_kannada_15_0015,kannada_15,BG 2.39;BG 2.50;BG 2.55
kn_kannada_15_0016,kannada_15,BG 2.39;BG 2.48;BG 2.50
kn_kannada_15_0017,kannada_15,BG 2.39;BG 2.48;BG 2.50
kn_kannada_15_0018,kannada_15,BG 2.39;BG 2.50;BG 2.51
kn_kannada_15_0019,kannada_15,BG 2.39;BG 2.41;BG 2.49
kn_kannada_16_0000,kannada_16,BG 2.39;BG 2.48;BG 2.50
kn_kannada_16_0001,kannada_16,BG 2.39;BG 2.48;BG 2.50
kn_kannada_16_0002,kannada_16,BG 2.39;BG 2.49;BG 2.50
kn_kannada_16_0003,kannada_16,BG 2.39;BG 2.49;BG 2.50
kn_kannada_16_0004,kannada_16,BG 2.39;BG 2.47;BG 2.50
kn_kannada_16_0005,kannada_16,BG 2.27;BG 2.39;BG 2.47
kn_kannada_16_0006,kannada_16,BG 2.40;BG 2.49;BG 2.50
kn_kannada_16_0007,kannada_16,BG 2.39;BG 2.47;BG 2.49
kn_kannada_16_0008,kannada_16,BG 2.48;BG 2.49;BG 2.50
kn_kannada_16_0009,kannada_16,BG 2.39;BG 2.48;BG 2.50
kn_kannada_16_0010,kannada_16,BG 2.41;BG 2.49;BG 2.62
kn_kannada_16_0011,kannada_16,BG 2.39;BG 2.41;BG 2.50
kn_kannada_16_0012,kannada_16,BG 2.39;BG 2.41;BG 2.49
kn_kannada_16_0013,kannada_16,BG 2.39;BG 2.41;BG 2.72
kn_kannada_16_0014,kannada_16,BG 2.41;BG 2.49;BG 2.7
kn_kannada_17_0000,kannada_17,BG 2.39;BG 2.49;BG 2.50
kn_kannada_17_0001,kannada_17,BG 2.39;BG 2.42;BG 2.49
kn_kannada_17_0002,kannada_17,BG 2.39;BG 2.42;BG 2.50
kn_kannada_17_0003,kannada_17,BG 2.42;BG 2.49;BG 2.50
kn_kannada_17_0004,kannada_17,BG 2.42;BG 2.49;BG 2.50
kn_kannada_17_0005,kannada_17,BG 2.42;BG 2.46;BG 2.49
kn_kannada_17_0006,kannada_17,BG 2.20;BG 2.51;BG 2.62
kn_kannada_17_0007,kannada_17,BG 2.42;BG 2.51;BG 2.62
kn_kannada_17_0008,kannada_17,BG 2.39;BG 2.41;BG 2.42
kn_kannada_17_0009,kannada_17,BG 2.49;BG 2.59;BG 2.62
kn_kannada_17_0010,kannada_17,BG 2.44;BG 2.49;BG 2.59
kn_kannada_17_0011,kannada_17,BG 2.44;BG 2.55;BG 2.59
kn_kannada_17_0012,kannada_17,BG 2.55;BG 2.59;BG 2.66
kn_kannada_17_0013,kannada_17,BG 2.49;BG 2.61;BG 2.7
kn_kannada_18_0000,kannada_18,BG 2.18;BG 2.45;BG 2.48
kn_kannada_18_0001,kannada_18,BG 2.24;BG 2.45;BG 2.62
kn_kannada_18_0002,kannada_18,BG 2.14;BG 2.45;BG 2.62
kn_kannada_18_0003,kannada_18,BG 2.45;BG 2.48;BG 2.49
kn_kannada_18_0004,kannada_18,BG 2.14;BG 2.45;BG 2.49
kn_kannada_18_0005,kannada_18,BG 2.17;BG 2.24;BG 2.55
kn_kannada_18_0006,kannada_18,BG 2.39;BG 2.50;BG 2.53
kn_kannada_18_0007,kannada_18,BG 2.48;BG 2.49;BG 2.50
kn_kannada_18_0008,kannada_18,BG 2.49;BG 2.55;BG 2.71
kn_kannada_18_0009,kannada_18,BG 2.45;BG 2.49;BG 2.50
kn_kannada_18_0010,kannada_18,BG 2.45;BG 2.59;BG 2.62
kn_kannada_18_0011,kannada_18,BG 2.45;BG 2.53;BG 2.55
kn_kannada_18_0012,kannada_18,BG 2.41;BG 2.49;BG 2.7
kn_kannada_19_0000,kannada_19,BG 2.45;BG 2.49;BG 2.55
kn_kannada_19_0001,kannada_19,BG 2.39;BG 2.49;BG 2.66
kn_kannada_19_0002,kannada_19,BG 2.14;BG 2.46;BG 2.49
kn_kannada_19_0003,kannada_19,BG 2.41;BG 2.49;BG 2.64
kn_kannada_19_0004,kannada_19,BG 2.49;BG 2.64;BG 2.70
kn_kannada_19_0005,kannada_19,BG 2.29;BG 2.39;BG 2.55
kn_kannada_19_0006,kannada_19,BG 2.29;BG 2.45;BG 2.53
kn_kannada_19_0007,kannada_19,BG 2.29;BG 2.65;BG 2.66
kn_kannada_19_0008,kannada_19,BG 2.39;BG 2.53;BG 2.55
kn_kannada_19_0009,kannada_19,BG 2.39;BG 2.47;BG 2.49
kn_kannada_19_0010,kannada_19,BG 2.39;BG 2.47;BG 2.49
kn_kannada_19_0011,kannada_19,BG 2.39;BG 2.47;BG 2.49
kn_kannada_19_0012,kannada_19,BG 2.39;BG 2.47;BG 2.49
kn_kannada_19_0013,kannada_19,BG 2.38;BG 2.39;BG 2.47
kn_kannada_19_0014,kannada_19,BG 2.39;BG 2.49;BG 2.5
kn_kannada_19_0015,kannada_19,BG 2.49;BG 2.5;BG 2.50
kn_kannada_19_0016,kannada_19,BG 2.39;BG 2.47;BG 2.50
kn_kannada_19_0017,kannada_19,BG 2.39;BG 2.48;BG 2.49
kn_kannada_20_0000,kannada_20,BG 2.49;BG 2.50;BG 2.59
kn_kannada_20_0001,kannada_20,BG 2.39;BG 2.47;BG 2.48
kn_kannada_20_0002,kannada_20,BG 2.39;BG 2.48;BG 2.50
kn_kannada_20_0003,kannada_20,BG 2.48;BG 2.49;BG 2.50
kn_kannada_20_0004,kannada_20,BG 2.48;BG 2.49;BG 2.50
kn_kannada_20_0005,kannada_20,BG 2.39;BG 2.50;BG 2.62
kn_kannada_20_0006,kannada_20,BG 2.39;BG 2.48;BG 2.50
kn_kannada_20_0007,kannada_20,BG 2.39;BG 2.47;BG 2.50
kn_kannada_20_0008,kannada_20,BG 2.39;BG 2.49;BG 2.62
kn_kannada_20_0009,kannada_20,BG 2.48;BG 2.49;BG 2.50
kn_kannada_20_0010,kannada_20,BG 2.39;BG 2.49;BG 2.50
kn_kannada_20_0011,kannada_20,BG 2.39;BG 2.49;BG 2.50
kn_kannada_20_0012,kannada_20,BG 2.39;BG 2.49;BG 2.62
kn_kannada_20_0013,kannada_20,BG 2.39;BG 2.41;BG 2.49
kn_kannada_20_0014,kannada_20,BG 2.41;BG 2.49;BG 2.7
